Country,Death,Elevation,Location,Name,Type,VEI,Year
Japan,1,1592,Kyushu-Japan,Aso,Caldera,2,1816
Indonesia,,2799,Java,Ijen,Stratovolcano,2,1817
Indonesia,,3332,Java,Raung,Stratovolcano,4,1817
Mexico,,3850,Mexico,Colima,Stratovolcano,4,1818
United States,,857,Mariana Is-C Pacific,Asuncion,Stratovolcano,,1819
Pacific Ocean,,640,Banda Sea,Banda Api,Caldera,2,1820
United States,,1654,Aleutian Is,Westdahl,Stratovolcano,2,1820
Indonesia,100,2947,Java,Merapi,Stratovolcano,3,1822
Indonesia,4011,2168,Java,Galunggung,Stratovolcano,5,1822
Japan,50,731,Hokkaido-Japan,Usu,Stratovolcano,4,1822
United States,,1222,Hawaiian Is,Kilauea,Shield volcano,0,1823
United States,,2857,Aleutian Is,Shishaldin,Stratovolcano,3,1824
Papua New Guinea,,2715,Bougainville-SW Paci,Balbi,Stratovolcano,,1825
Indonesia,,1731,Java,Kelut,Stratovolcano,3,1826
Indonesia,,2565,Java,Dieng Volc Complex,Complex volcano,2,1826
Japan,,1592,Kyushu-Japan,Aso,Caldera,2,1826
Russia,,2741,Kamchatka,Avachinsky,Stratovolcano,2,1827
Russia,,2741,Kamchatka,Avachinsky,Stratovolcano,2,1827
Indonesia,,2249,Java,Guntur,Complex volcano,2,1829
Indonesia,32,2947,Java,Merapi,Stratovolcano,3,1832
Italy,,3350,Italy,Etna,Stratovolcano,2,1832
Indonesia,126,1952,Sumatra,Kaba,Stratovolcano,2,1833
Nicaragua,,872,Nicaragua,Cosiguina,Stratovolcano,5,1835
Pacific Ocean,,640,Banda Sea,Banda Api,Caldera,,1835
Indonesia,,2801,Sumatra,Peuet Sague,Complex volcano,,1837
Indonesia,4,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,2,1838
Chile,,-642,Chile-Is,Unnamed,Submarine volcano,2,1839
Indonesia,,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,2,1840
Solomon Is.,,510,Solomon Is-SW Pacifi,Savo,Stratovolcano,3,1840
Solomon Is.,,851,Santa Cruz Is-SW Pac,Tinakula,Stratovolcano,3,1840
Turkey,1900,5165,Turkey,Ararat,Stratovolcano,3,1840
United States,,1222,Hawaiian Is,Kilauea,Shield volcano,0,1840
Japan,,649,Ryukyu Is,Kuchinoerabu-jima,Stratovolcano,2,1841
Guadeloupe,,1467,W Indies,Soufriere Guadeloupe,Stratovolcano,,1843
Indonesia,4,1651,Java,Lamongan,Stratovolcano,2,1843
Italy,56,3350,Italy,Etna,Stratovolcano,2,1843
St. Kitts & Nevis,,1156,W Indies,Liamuiga,Stratovolcano,0,1843
Colombia,1000,5321,Colombia,Ruiz,Stratovolcano,2,1845
Iceland,,1491,Iceland-S,Hekla,Stratovolcano,4,1845
Indonesia,,1784,Sulawesi-Indonesia,Soputan,Stratovolcano,2,1845
Indonesia,,2084,Java,Tangkubanparahu,Stratovolcano,2,1846
Japan,,618,Hokkaido-Japan,E-san,Stratovolcano,1,1846
New Zealand,63,760,New Zealand,Taupo,Caldera,,1846
Cape Verde,,2829,Cape Verde Is,Fogo,Stratovolcano,2,1847
Indonesia,,2565,Java,Dieng Volc Complex,Complex volcano,2,1847
Indonesia,21,1731,Java,Kelut,Stratovolcano,2,1848
